Epoch,D_loss,G_loss,D_loss_change_%,G_loss_change_%,D_to_G_ratio
33,-15.2269,-152.7108,-29.668872948642743,-3.700368523409181,-0.09971069498686407
34,-23.8698,-101.7352,56.76073265076938,-33.380481275718545,-0.23462675652085022
35,-16.8244,-140.0203,-29.51595740224049,37.6321076677492,-0.1201568629691552
36,-12.2902,-134.6621,-26.95014383871045,-3.826730838314152,-0.09126695632995475
37,-11.6887,-120.1143,-4.894143301166776,-10.803188127914243,-0.09731314256504014
38,-11.9291,-126.6892,2.05668722783543,5.47386947266062,-0.09416035463164973
39,-13.5162,-133.3166,13.304440402042061,5.231227286935258,-0.10138422372007687
40,-14.6952,-118.063,8.722865894260234,-11.441635925308624,-0.12446913935780049
41,-13.0441,-133.2144,-11.23564157003647,12.83331780490078,-0.0979180929389015
42,-19.8974,-98.6801,52.53946228563107,-25.92384907337346,-0.20163538545258874
43,-10.6437,-125.1871,-46.507081327208574,26.86154553957689,-0.08502233856363796
44,-11.9095,-107.5361,11.892480998149125,-14.099695575662341,-0.11074885550061793
45,-11.0063,-121.111,-7.583861623074018,12.623574780934032,-0.09087778979613742
46,-10.5091,-129.8473,-4.517412754513317,7.213465333454416,-0.080934297440147
47,-8.4391,-128.5144,-19.697214794796892,-1.0265134507995155,-0.065666571216922
48,-13.0561,-98.1693,54.70962543399178,-23.612217774817445,-0.13299575325483629
49,-9.7346,-115.278,-25.440215684622515,17.427749815879288,-0.08444456010687208
50,-10.5197,-118.4719,8.065046329587243,2.770606707264167,-0.08879489566724261
51,-17.1112,-89.2009,62.6586309495518,-24.70712464305882,-0.1918276609316722
52,-10.1366,-127.3607,-40.76043760811633,42.7796132101806,-0.07958970074756185
53,-12.5182,-108.0432,23.495057514353924,-15.16755168588112,-0.11586291409362182
54,-9.2075,-121.8761,-26.447093032544622,12.803119492943548,-0.07554803607926411
55,-11.2646,-101.9508,22.341569372793924,-16.348816544014777,-0.11049055034389137
56,-8.298,-107.8089,-26.335600021305684,5.746006897444644,-0.0769695266346285
57,-8.8025,-123.8199,6.079778259821644,14.851278512256428,-0.07109115739877031
58,-7.8849,-106.4639,-10.42431127520591,-14.017132948742494,-0.07406172420886328
59,-10.4865,-110.7034,32.994711410417366,3.9821009750723,-0.09472608790696581
60,-10.876,-92.7153,3.714299337243121,-16.24891376416623,-0.11730534226821247
61,-8.834,-104.6453,-18.77528503126149,12.867347676165641,-0.08441850709014165
62,-12.1757,-96.7706,37.827711116142204,-7.525134908113406,-0.1258202387915338
63,-11.2611,-111.3485,-7.511683106515433,15.064389390992726,-0.10113382757738093
64,-9.2225,-104.3449,-18.103027235350012,-6.2898018383723215,-0.08838477012292886
65,-9.6386,-109.1764,4.511791813499588,4.630317341815471,-0.0882846475978325
66,-9.1964,-104.2558,-4.58780320793476,-4.507018000227159,-0.08820996050099851
67,-8.0984,-113.5982,-11.939454569179253,8.961036220526841,-0.07128986198724979
68,-8.3599,-106.9623,3.229032895386741,-5.841553827437407,-0.07815744425839759
69,-10.0403,-109.5408,20.100718908120907,2.4106624483579697,-0.09165808538918832
70,-8.2596,-99.801,-17.735525830901466,-8.891481530169587,-0.08276069378062345
71,-10.4889,-115.4693,26.99041115792531,15.699542088756635,-0.09083713160121347
72,-8.0665,-106.1444,-23.094890789310607,-8.075653009068207,-0.07599553061678241
73,-14.8453,-95.5673,84.03644703402964,-9.964821507305144,-0.15533869848787188
74,-16.44,-81.5771,10.742120401743316,-14.639107728271073,-0.20152714425984744
75,-8.9782,-95.1616,-45.388077858880784,16.65234483697018,-0.09434687941354494
76,-8.0556,-110.3658,-10.276001871199114,15.977242921514545,-0.0729900023376807
77,-9.092,-104.4527,12.86558418988033,-5.357728571713338,-0.08704418363527225
78,-6.9522,-104.2997,-23.534975802903656,-0.14647778372410825,-0.06665599229911495
79,-9.1598,-99.7494,31.75397715830961,-4.3627162877745596,-0.09182812127190741
80,-12.0236,-113.2304,31.2648747789253,13.514868259859213,-0.10618703104466645
81,-11.3729,-94.0361,-5.4118566818590175,-16.951543048509944,-0.12094185105507352
82,-7.6238,-94.3785,-32.96520676344643,0.36411548330905763,-0.08077899097781804
83,-7.1199,-98.2684,-6.609564783965993,4.121595490498353,-0.07245360665279989
84,-7.8541,-105.859,10.31194258346324,7.724354929967303,-0.0741939750044871
85,-9.2222,-106.1282,17.418927693815988,0.25430053183952417,-0.08689679086237212
86,-10.9141,-75.2988,18.345947821561005,-29.04920652569252,-0.14494387692765356
87,-7.2624,-99.0802,-33.45855361413217,31.582707825357126,-0.07329819681429792
88,-11.3722,-92.9338,56.59010795329367,-6.203459419742796,-0.1223688259815051
89,-9.3277,-112.8118,-17.978051740208578,21.38941913491108,-0.08268372634777567
90,-9.2119,-90.1741,-1.241463597671455,-20.066783793893904,-0.10215682773656738
91,-6.7304,-100.0177,-26.93798239234034,10.916216518933929,-0.06729208930019387
92,-7.3227,-104.2088,8.800368477356479,4.190358306579722,-0.0702694973936942
93,-7.0914,-88.8864,-3.158670982014833,-14.703556705383814,-0.07978048385354791
94,-7.9337,-107.6473,11.87776743661335,21.10660348489759,-0.07370087312919135
95,-6.0603,-95.6738,-23.613194348160384,-11.122898577112483,-0.0633433604602305
96,-7.1055,-89.3774,17.246670956883325,-6.581112070389183,-0.07949996307791456
97,-7.6946,-92.9273,8.290760678347752,3.9718094283342387,-0.08280236270719153
98,-12.1643,-79.362,58.08878954071688,-14.597755449690252,-0.15327612711373204
99,-6.0271,-93.6431,-50.452553784434784,17.994884201507034,-0.06436245703100388
100,-6.3409,-109.7075,5.20648404705415,17.15492118479631,-0.05779823621903699
101,-7.5219,-100.1319,18.625116308410462,-8.728300252945331,-0.07511991682970162
102,-6.601,-96.7416,-12.242917348010474,-3.3858340848420876,-0.06823331431359415
